reaction,genes,subsystem,name,casop_ko_score,lo_use,hi_use,kd_growth_frac
R01195,RPA1578,Carbon fixation in photosynthetic organisms,FerredoxinNADP+ oxidoreductase,0.09378327246849949,1.056246877488013,0.9624636050195134,0.912249650082821
R01196,RPA4721,Citrate cycle (TCA cycle),pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating),0.061949162637018634,0.25115902912111754,0.1892098664840989,0.9384479721176364
R01325,RPA0202,Citrate cycle (TCA cycle),citrate hydro-lyase,0.056637895220011725,0.5271640238866973,0.47052612866668553,0.8731849441364768
R00351,RPA2907,Citrate cycle (TCA cycle),Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- - acetyl-CoA),0.05663789522000173,0.5271640238867691,0.47052612866676735,0.8731849441364814
R00342,RPA0192,Citrate cycle (TCA cycle),(S)-malateNAD+ oxidoreductase,0.035498769626353566,0.44960364461337615,0.4141048749870226,0.9730650623697973
R02740,RPA3634,Glycolysis / Gluconeogenesis,D-Glucose-6-phosphate ketol-isomerase,0.033085937216515204,0.4609245971848968,0.4278386599683816,0.10000000000000536
R01528,RPA3635,Pentose phosphate pathway,6-Phospho-D-gluconateNADP+ 2-oxidoreductase (decarboxylating),0.03257623586630387,0.45222701953006217,0.4196507836637583,1.0
R02035,RPA3637,Pentose phosphate pathway,"6-Phospho-D-glucono-1,5-lactone lactonohydrolase",0.03257623586630376,0.45222701953006006,0.4196507836637563,1.0
R00835,RPA3636,Pentose phosphate pathway,D-Glucose-6-phosphateNADP+ 1-oxoreductase,0.032576235866303316,0.4522270195300817,0.4196507836637784,1.0
R00472,RPA4216,Pyruvate metabolism,L-Malate glyoxylate-lyase (CoA-acetylating),0.03251063754241512,0.29888714701858715,0.26637650947617203,0.9928814190093742
R00479,RPA4394,Glyoxylate and dicarboxylate metabolism,Isocitrate glyoxylate-lyase,0.03117260056537663,0.31600782771541835,0.2848352271500417,0.9927725340988961
R00127,RPA3229,Purine metabolism,ATPAMP phosphotransferase,0.028317766410237866,1.537475635558821,1.5091578691485832,0.27106054857819467
